Word,Level
亲友,HSK7-9
亲和力,HSK7-9
亲密,HSK4
亲属,HSK6
亲情,HSK7-9
亲戚,HSK7-9
亲手,HSK7-9
亲朋好友,HSK7-9
亲热,HSK7-9
亲爱,HSK4
亲生,HSK7-9
亲眼,HSK6
亲自,HSK3
亲身,HSK7-9
亲近,HSK7-9
人,HSK1
人为,HSK7-9
人事,HSK7-9
人们,HSK2
人体,HSK7-9
人力,HSK5
人口,HSK2
人员,HSK3
人品,HSK7-9
人均,HSK7-9
人士,HSK5
人家,HSK4
人工,HSK3
人工智能,HSK7-9
人性,HSK7-9
人情,HSK7-9
人手,HSK7-9
人才,HSK3
人数,HSK2
人文,HSK7-9
人权,HSK6
人格,HSK7-9
人次,HSK7-9
人民,HSK3
人民币,HSK3
人气,HSK7-9
人物,HSK5
人生,HSK3
人类,HSK3
人缘儿,HSK7-9
人群,HSK3
人行道,HSK7-9
人质,HSK7-9
人身,HSK7-9
人选,HSK7-9
人造,HSK7-9
人道,HSK7-9
人间,HSK5
亿,HSK2
什么,HSK1
什么样,HSK2
仁慈,HSK7-9
仅,HSK3
仅仅,HSK3
仅次于,HSK7-9
仇,HSK7-9
仇人,HSK7-9
仇恨,HSK7-9
今后,HSK2
今天,HSK1
今年,HSK1
今日,HSK5
介于,HSK7-9
介入,HSK7-9
介意,HSK7-9
介绍,HSK1
仍,HSK3
仍旧,HSK5
仍然,HSK3
从,HSK1
从不,HSK6
从业,HSK7-9
从中,HSK5
从事,HSK3
从今以后,HSK7-9
从前,HSK3
从头,HSK7-9
从容,HSK7-9
从容不迫,HSK7-9
从小,HSK2
从早到晚,HSK7-9
从未,HSK7-9
从来,HSK3
从来不,HSK7-9
从此,HSK4
从没,HSK6
从而,HSK5
仓库,HSK6
仔细,HSK5
他,HSK1
他人,HSK7-9
他们,HSK1
付,HSK3
付出,HSK4
付款,HSK7-9
付费,HSK7-9
仙女,HSK7-9
仙鹤,HSK7-9
代,HSK3
代价,HSK5
代号,HSK7-9
代替,HSK4
代理,HSK5
代理人,HSK7-9
代表,HSK3
代表团,HSK3
代言人,HSK7-9
令,HSK5
以,HSK7-9
以上,HSK2
以下,HSK2
以为,HSK2
以便,HSK5
以免,HSK7-9
以内,HSK4
以前,HSK2
以及,HSK4
以后,HSK2
以外,HSK2
以往,HSK5
以来,HSK3
以至于,HSK7-9
以致,HSK7-9
以身作则,HSK7-9
仪器,HSK6
仪式,HSK6
仪表,HSK7-9
们,HSK1
仰,HSK6
仲裁,HSK7-9
件,HSK2
价,HSK5
价位,HSK7-9
价值,HSK3
价值观,HSK7-9
价格,HSK3
价钱,HSK3
任,HSK3
任人宰割,HSK7-9
任何,HSK3
任务,HSK3
任命,HSK7-9
任意,HSK7-9
任期,HSK7-9
任职,HSK7-9
份,HSK2
份额,HSK7-9
仿,HSK7-9
仿佛,HSK6
仿制,HSK7-9
企业,HSK4
企图,HSK6
伊斯兰教,HSK7-9
休假,HSK2
休克,HSK7-9
休养,HSK7-9
休息,HSK1
休想,HSK7-9
休眠,HSK7-9
休闲,HSK5
众人,HSK7-9
众多,HSK5
众志成城,HSK7-9
众所周知,HSK7-9
优,HSK7-9
优先,HSK5
优势,HSK3
优化,HSK7-9
优异,HSK7-9
优惠,HSK5
优点,HSK3
优秀,HSK4
优美,HSK4
优良,HSK4
优质,HSK6
优越,HSK7-9
优雅,HSK7-9
伙,HSK4
伙伴,HSK4
伙食,HSK7-9
会,HSK1
会员,HSK3
会场,HSK7-9
会意,HSK7-9
会晤,HSK7-9
会见,HSK6
会计,HSK4
会议,HSK3
会诊,HSK7-9
会谈,HSK5
会长,HSK6
会面,HSK7-9
伞,HSK4
伟大,HSK3
传,HSK3
传人,HSK7-9
传出,HSK6
传奇,HSK7-9
传媒,HSK6
传承,HSK7-9
传授,HSK7-9
传播,HSK3
传来,HSK3
传染,HSK7-9
传染病,HSK7-9
传真,HSK5
传统,HSK4
传言,HSK6
传记,HSK7-9
传说,HSK3
传输,HSK6
传达,HSK5
传递,HSK5
传闻,HSK7-9
伤,HSK3
伤亡,HSK6
伤势,HSK7-9
伤口,HSK6
伤员,HSK6
伤害,HSK4
伤心,HSK3
伤感,HSK7-9
伤残,HSK7-9
伤痕,HSK7-9
伤脑筋,HSK7-9
伦理,HSK7-9
伪装,HSK7-9
伪造,HSK7-9
伯伯,HSK7-9
伯母,HSK7-9
伯父,HSK7-9
估算,HSK7-9
估计,HSK5
伴,HSK7-9
伴侣,HSK7-9
伴奏,HSK7-9
伴随,HSK7-9
伸,HSK5
伸张,HSK7-9
伸手,HSK7-9
伸缩,HSK7-9
伺候,HSK7-9
伺机,HSK7-9
似乎,HSK4
似是而非,HSK7-9
似曾相识,HSK7-9
似的,HSK4
但,HSK2
但愿,HSK7-9
但是,HSK2
位,HSK2
位于,HSK4
位子,HSK7-9
位置,HSK4
低,HSK2
低下,HSK7-9
低于,HSK5
低价,HSK7-9
低估,HSK7-9
低头,HSK6
低温,HSK6
低碳,HSK7-9
低调,HSK7-9
低谷,HSK7-9
低迷,HSK7-9
住,HSK1
住址,HSK7-9
住处,HSK7-9
住宅,HSK6
住宿,HSK7-9
住户,HSK7-9
住房,HSK2
住院,HSK2
佐料,HSK7-9
体会,HSK3
体制,HSK7-9
体力,HSK5
体操,HSK4
体检,HSK4
体温,HSK7-9
体现,HSK3
体积,HSK5
体系,HSK7-9
体育,HSK2
体育场,HSK2
体育馆,HSK2
体能,HSK7-9
体谅,HSK7-9
体质,HSK7-9
体贴,HSK7-9
体重,HSK4
体面,HSK7-9
体验,HSK3
何况,HSK7-9
何处,HSK7-9
何必,HSK7-9
何时,HSK7-9
何苦,HSK7-9
余,HSK7-9
余地,HSK7-9
余额,HSK7-9
佛,HSK6
佛教,HSK6
作,HSK6
作业,HSK2
作为,HSK4
作出,HSK4
作品,HSK3
作客,HSK7-9
作家,HSK2
作对,HSK7-9
作废,HSK6
作弊,HSK7-9
作战,HSK6
作文,HSK2
作物,HSK7-9
作用,HSK2
作者,HSK3
作风,HSK7-9
你,HSK1
你们,HSK1
佩服,HSK7-9
佳节,HSK7-9
使,HSK3
使劲,HSK4
使命,HSK7-9
使唤,HSK7-9
使得,HSK5
使用,HSK2
使者,HSK7-9
侃大山,HSK7-9
例外,HSK5
例如,HSK2
例子,HSK2
侍候,HSK7-9
供,HSK7-9
供不应求,HSK7-9
供奉,HSK7-9
供应,HSK4
供暖,HSK7-9
供求,HSK7-9
供给,HSK6
依,HSK7-9
依依不舍,HSK7-9
依托,HSK7-9
依据,HSK5
依旧,HSK5
依次,HSK6
依法,HSK5
依然,HSK4
依照,HSK5
依赖,HSK6
依靠,HSK4
侠义,HSK7-9
侦察,HSK7-9
侧,HSK6
侧重,HSK7-9
侧面,HSK7-9
侮辱,HSK7-9
侵占,HSK7-9
侵害,HSK7-9
侵权,HSK7-9
侵犯,HSK6
侵略,HSK7-9
便,HSK6
便于,HSK5
便利,HSK5
便利店,HSK7-9
便宜,HSK2
便捷,HSK7-9
便是,HSK6
便条,HSK5
便道,HSK7-9
便饭,HSK7-9
促使,HSK4
促成,HSK7-9
促进,HSK4
促销,HSK4
俄语,HSK7-9
俊,HSK7-9
俊俏,HSK7-9
俗,HSK7-9
俗话,HSK7-9
俗话说,HSK7-9
俗语,HSK7-9
俘获,HSK7-9
俘虏,HSK7-9
保,HSK3
保佑,HSK7-9
保修,HSK7-9
保健,HSK6
保养,HSK5
保卫,HSK5
保姆,HSK7-9
保存,HSK3
保守,HSK4
保安,HSK3
保密,HSK4
保护,HSK3
保持,HSK3
保暖,HSK7-9
保留,HSK3
保管,HSK7-9
保证,HSK3
保质期,HSK7-9
保重,HSK7-9
保险,HSK3
保障,HSK7-9
保鲜,HSK7-9
信,HSK2
信仰,HSK6
信件,HSK7-9
信任,HSK3
信号,HSK2
信封,HSK3
信心,HSK2
信念,HSK5
信息,HSK2
信用,HSK6
信用卡,HSK2
信箱,HSK5
信誉,HSK7-9
信贷,HSK7-9
信赖,HSK7-9
俩,HSK4
修,HSK3
修养,HSK5
修复,HSK5
修建,HSK5
修改,HSK3
修正,HSK7-9
修理,HSK4
修补,HSK7-9
修订,HSK7-9
修路,HSK7-9
修车,HSK6
修长,HSK7-9
俯首,HSK7-9
俱乐部,HSK5
倍,HSK4
倒,HSK2
倒下,HSK7-9
倒卖,HSK7-9
倒塌,HSK7-9
倒数,HSK7-9
倒是,HSK5
倒计时,HSK7-9
倒车,HSK4
倒闭,HSK4
倒霉,HSK7-9
